year,cp,name,population
1940,44001,Ababuj,409
1940,44002,Abejuela,561
1940,44003,Aguatón,139
1940,44004,Aguaviva,1723
1940,44005,Aguilar del Alfambra,442
1940,44006,Alacón,1071
1940,44007,Alba,761
1940,44008,Albalate del Arzobispo,4367
1940,44009,Albarracín,1404
1940,44010,Albentosa,1057
1940,44011,Alcaine,909
1940,44012,Alcalá de la Selva,1528
1940,44013,Alcañiz,8691
1940,44014,Alcorisa,3429
1940,44016,Alfambra,1304
1940,44017,Aliaga,1513
1940,44018,Almohaja,214
1940,44019,Alobras,441
1940,44020,Alpeñés,161
1940,44021,Allepuz,767
1940,44022,Alloza,1773
1940,44023,Allueva,224
1940,44024,Anadón,209
1940,44025,Andorra,3195
1940,44026,Arcos de las Salinas,860
1940,44027,Arens de Lledó,589
1940,44028,Argente,643
1940,44029,Ariño,1288
1940,44031,Azaila,599
1940,44032,Bádenas,245
1940,44033,Báguena,1526
1940,44034,Bañón,742
1940,44035,Barrachina,635
1940,44036,Bea,179
1940,44037,Beceite,1278
1940,44038,Belmonte de San José,524
1940,44039,Bello,1396
1940,44040,Berge,645
1940,44041,Bezas,345
1940,44042,Blancas,1011
1940,44043,Blesa,1081
1940,44044,Bordón,524
1940,44045,Bronchales,1009
1940,44046,Bueña,417
1940,44047,Burbáguena,1331
1940,44048,Cabra de Mora,367
1940,44049,Calaceite,2134
1940,44050,Calamocha,8128
1940,44051,Calanda,3975
1940,44052,Calomarde,352
1940,44053,Camañas,410
1940,44054,Camarena de la Sierra,584
1940,44055,Camarillas,675
1940,44056,Caminreal,1835
1940,44059,Cantavieja,1674
1940,44060,Cañada de Benatanduz,452
1940,44061,Cañada de Verich (La),242
1940,44062,Cañada Vellida,191
1940,44063,Cañizar del Olivar,483
1940,44064,Cascante del Río,553
1940,44065,Castejón de Tornos,510
1940,44066,Castel de Cabra,518
1940,44067,Castelnou,442
1940,44068,Castelserás,1857
1940,44070,Castellar (El),501
1940,44071,Castellote,3700
1940,44074,Cedrillas,1012
1940,44075,Celadas,777
1940,44076,Cella,3834
1940,44077,Cerollera (La),355
1940,44080,Codoñera (La),878
1940,44082,Corbalán,457
1940,44084,Cortes de Aragón,465
1940,44085,Cosa,483
1940,44086,Cretas,1512
1940,44087,Crivillén,795
1940,44088,Cuba (La),336
1940,44089,Cubla,359
1940,44090,Cucalón,545
1940,44092,Cuervo (El),474
1940,44093,Cuevas de Almudén,241
1940,44094,Cuevas Labradas,391
1940,44096,Ejulve,967
1940,44097,Escorihuela,576
1940,44099,Escucha,818
1940,44100,Estercuel,1109
1940,44101,Ferreruela de Huerva,371
1940,44102,Fonfría,191
1940,44103,Formiche Alto,769
1940,44105,Fórnoles,677
1940,44106,Fortanete,1095
1940,44107,Foz-Calanda,722
1940,44108,Fresneda (La),1591
1940,44109,Frías de Albarracín,536
1940,44110,Fuenferrada,323
1940,44111,Fuentes Calientes,279
1940,44112,Fuentes Claras,1540
1940,44113,Fuentes de Rubielos,677
1940,44114,Fuentespalda,762
1940,44115,Galve,405
1940,44116,Gargallo,494
1940,44117,Gea de Albarracín,1086
1940,44118,Ginebrosa (La),957
1940,44119,Griegos,294
1940,44120,Guadalaviar,474
1940,44121,Gúdar,437
