year,cp,name,population
1900,44226,Torrelacárcel,521
1900,44227,Torre los Negros,456
1900,44228,Torremocha de Jiloca,420
1900,44229,Torres de Albarracín,591
1900,44230,Torrevelilla,776
1900,44231,Torrijas,689
1900,44232,Torrijo del Campo,1308
1900,44234,Tramacastiel,668
1900,44235,Tramacastilla,455
1900,44236,Tronchón,997
1900,44237,Urrea de Gaén,1195
1900,44238,Utrillas,712
1900,44239,Valacloche,219
1900,44240,Valbona,675
1900,44241,Valdealgorfa,1665
1900,44243,Valdecuenca,320
1900,44244,Valdelinares,825
1900,44245,Valdeltormo,699
1900,44246,Valderrobres,3058
1900,44247,Valjunquera,1225
1900,44249,Vallecillo (El),467
1900,44250,Veguillas de la Sierra,292
1900,44251,Villafranca del Campo,988
1900,44252,Villahermosa del Campo,236
1900,44256,Villanueva del Rebollar de la Sierra,309
1900,44257,Villar del Cobo,596
1900,44258,Villar del Salz,412
1900,44260,Villarluengo,2128
1900,44261,Villarquemado,872
1900,44262,Villarroya de los Pinares,1095
1900,44263,Villastar,737
1900,44264,Villel,1182
1900,44265,Vinaceite,544
1900,44266,Visiedo,656
1900,44267,Vivel del Río Martín,946
1900,44268,Zoma (La),181
